Store,Dept,Error_Mean,Error_SD,Error_MAE,N,Shrunk_Error_SD,Safety_Stock_95
4.0,5.0,2941.375423998893,5229.835528012821,4036.500564045843,4,4172.600101721648,6863.316411134934
4.0,6.0,15.906090803573989,1712.463108653792,1215.7202551607397,4,2280.628582892234,3751.3001962994877
4.0,7.0,814.0931808094847,2909.924589823057,2576.0813690353516,4,2822.912032473449,4643.277095178904
4.0,8.0,-2476.232784740385,2373.130898807723,2762.8810603653055,4,2559.4680922591924,4209.950374619098
4.0,9.0,3650.34378054462,2330.6150167596174,3650.34378054462,4,2539.8592405933937,4177.696683836255
4.0,10.0,-451.1214474180615,2614.9650603027794,2182.1339629990634,4,2674.700528499797,4399.490865311911
4.0,11.0,-280.72231660224134,2048.792360673397,1723.7864103056381,4,2415.3212731294716,3972.849956360059
4.0,12.0,-336.3136189440129,679.1574602778381,562.0620231960893,4,1991.388764601341,3275.5430321249273
4.0,13.0,1576.0040899243395,3308.621215805361,3086.947988609274,4,3034.5492183673027,4991.389287994213
4.0,14.0,229.65623633949963,2569.6079695046596,1781.0699994359684,4,2652.629703205079,4363.187588276081
4.0,16.0,-1706.7202063869,1360.845670135108,1706.7202063869,4,2158.9238645254886,3551.1137488768386
4.0,17.0,-819.9901566301005,994.7264989794389,991.0814643867943,4,2056.633702860303,3382.861405460406
4.0,18.0,-936.0119140596646,276.7822051525074,936.0119140596646,4,1942.4999300899542,3195.1280553614424
4.0,19.0,-281.5733486853453,710.135607942847,586.9889436569417,4,1996.7844337056297,3284.4181180209466
4.0,20.0,241.63287291975348,831.8787663405358,718.4968801513583,4,2020.1517083622855,3322.853864491918
4.0,21.0,223.40312921370924,392.02042526867405,399.3856649830914,4,1952.3938615886013,3211.4021244718015
4.0,22.0,1305.4588787248904,1991.326557551071,1824.4960256343675,4,2391.169695621587,3933.124146499615
4.0,23.0,-2128.947705601682,3325.145531212425,2449.940909852745,4,3043.56668823371,5006.221706009898
4.0,24.0,-2341.838419383496,652.8604747300498,2341.838419383496,4,1986.9864578268537,3268.3018818599585
4.0,25.0,-709.1598994983542,995.7125191967439,1012.3533700462895,4,2056.8722600826472,3383.2537971728143
4.0,26.0,314.5913512778402,3023.7780688593202,2252.8073499446405,4,2882.1205194634445,4740.666389750708
4.0,27.0,67.45086103138715,287.6322413427037,194.0780940157374,4,1943.2879192196015,3196.424182139341
4.0,28.0,-66.7822380140461,230.09656813429726,186.82898359742566,4,1939.4519842441382,3190.1146305822003
4.0,29.0,-427.8363654021409,754.2684371032282,689.7238331299118,4,2004.8596513122827,3297.700668989672
4.0,30.0,-1180.8261973892957,1228.2979859799807,1180.8261973892957,4,2118.810929515933,3485.1338422387025
4.0,31.0,-668.1215010843495,2743.5529620295365,2294.5671866784664,4,2738.346802650361,4504.179670190413
4.0,32.0,-1226.3350815723506,2032.1179815822502,2000.0619477004666,4,2408.2677445396084,3961.2479342762163
4.0,33.0,-2190.890481568596,1812.3768557547708,2350.9228330480905,4,2318.9128309388234,3814.2721805540295
4.0,34.0,-1425.1959841608032,1535.105595628287,1647.3753896152166,4,2216.5911618337677,3645.9680120108505
4.0,35.0,-457.67368417207945,275.0033646774992,457.67368417207945,4,1942.3736018456664,3194.920263890639
4.0,36.0,-724.8775669346967,612.3613632119308,724.8775669346967,4,1980.5289706117205,3257.6802605931543
4.0,37.0,-703.5105387162444,957.0119487296616,916.5575728992981,4,2047.666408099866,3368.111518149758
4.0,38.0,-4965.3360307330695,4636.63830167303,5864.983389372112,4,3805.8125484744533,6260.00457385563
4.0,40.0,473.08205227891085,1733.3298418934307,1358.0443200254558,4,2288.496876610079,3764.2423877592046
